,constituency,eligible_voters,line,num_candidates,state,valid_votes,votes_cast,candidate,party,percent,votes
0,Pwintbyu-2,42271.0,647.0,3.0,Magway,30573.0,34418.0,Dr. Aung Moe Nyo,NLD,74,22496
1,Pwintbyu-2,42271.0,647.0,3.0,Magway,30573.0,34418.0,Thaung Tin,NUP,22,6776
0,Sedoktara,22537.0,651.0,3.0,Magway,16099.0,18216.0,Arnt Kyi,NLD,62,9995
1,Sedoktara,22537.0,651.0,3.0,Magway,16099.0,18216.0,Myint Swe,NUP,35,5592
0,Ingapu-1,68286.0,655.0,5.0,Ayeyarwady,45596.0,53605.0,Mya Win,NLD,67,30800
1,Ingapu-1,68286.0,655.0,5.0,Ayeyarwady,45596.0,53605.0,Bo Tun,NUP,30,13643
0,Ingapu-2,72094.0,659.0,4.0,Ayeyarwady,46665.0,54990.0,Dr. Sann Aung,Indep.,53,24581
1,Ingapu-2,72094.0,659.0,4.0,Ayeyarwady,46665.0,54990.0,Thein Tun,NUP,32,14915
2,Ingapu-2,72094.0,659.0,4.0,Ayeyarwady,46665.0,54990.0,Htin Kyaw,Indep.,12,5718
0,Myanaung-1,67881.0,668.0,3.0,Ayeyarwady,42629.0,49245.0,Tin Oo,NLD,66,28248
1,Myanaung-1,67881.0,668.0,3.0,Ayeyarwady,42629.0,49245.0,Sein Ya,NUP,33,14106
0,Myanaung-2,71909.0,672.0,4.0,Ayeyarwady,44311.0,52025.0,Myint Thein,NLD,70,31160
1,Myanaung-2,71909.0,672.0,4.0,Ayeyarwady,44311.0,52025.0,Hlaing Myint,NUP,26,11492
0,Laymyethnar-1,32595.0,676.0,3.0,Ayeyarwady,22003.0,25403.0,Si Maung,NLD,73,16041
1,Laymyethnar-1,32595.0,676.0,3.0,Ayeyarwady,22003.0,25403.0,Hla Shwe,NUP,26,5715
0,Laymyethnar-2,30509.0,680.0,3.0,Ayeyarwady,22717.0,24835.0,Hsan Myint,NLD,69,15644
1,Laymyethnar-2,30509.0,680.0,3.0,Ayeyarwady,22717.0,24835.0,Shwe Thaung,PUO,30,6787
0,Kyangin,61635.0,685.0,3.0,Ayeyarwady,36620.0,46970.0,Dr. Ye Myint,NLD,74,27147
1,Kyangin,61635.0,685.0,3.0,Ayeyarwady,36620.0,46970.0,Ohn Pe,NUP,25,8977
0,Thaton-1,59033.0,689.0,5.0,Mon,32815.0,36755.0,Hkun Myint Tun,NLD,76,25075
1,Thaton-1,59033.0,689.0,5.0,Mon,32815.0,36755.0,Saw Maung Win,NUP,16,5288
0,Pauktaw-1,31257.0,694.0,4.0,Rakhine,15356.0,20294.0,Ba Than,RDL,60,9216
1,Pauktaw-1,31257.0,694.0,4.0,Rakhine,15356.0,20294.0,Oo Saw Hla,NUP,18,2744
2,Pauktaw-1,31257.0,694.0,4.0,Rakhine,15356.0,20294.0,Tha Tun,NLD,12,1855
3,Pauktaw-1,31257.0,694.0,4.0,Rakhine,15356.0,20294.0,Kyaw Zan Tha,APDF,10,1541
0,Pauktaw-2,29819.0,704.0,6.0,Rakhine,10857.0,15376.0,Saw Tun Sein,RDL,32,3528
1,Pauktaw-2,29819.0,704.0,6.0,Rakhine,10857.0,15376.0,Tha Kyaw,NLD,28,2995
2,Pauktaw-2,29819.0,704.0,6.0,Rakhine,10857.0,15376.0,Saw Hla Pru,NUP,17,1823
3,Pauktaw-2,29819.0,704.0,6.0,Rakhine,10857.0,15376.0,Aung Win,ANDP,12,1264
4,Pauktaw-2,29819.0,704.0,6.0,Rakhine,10857.0,15376.0,Kyaw Zan Shwi,APDF,10,1133
0,Ponnagyun,54968.0,716.0,6.0,Rakhine,37311.0,44396.0,Aung Tun Sein,RDL,38,14251
1,Ponnagyun,54968.0,716.0,6.0,Rakhine,37311.0,44396.0,Aung Shwe Oo,NUP,25,9393
2,Ponnagyun,54968.0,716.0,6.0,Rakhine,37311.0,44396.0,Tun Aung Kyaw,NLD,20,7509
0,Myitkyina-1,39204.0,724.0,6.0,Kachin,21837.0,26003.0,Mya Maung,NLD,46,10151
1,Myitkyina-1,39204.0,724.0,6.0,Kachin,21837.0,26003.0,Col. Soe Nyunt,NUP,32,7066
2,Myitkyina-1,39204.0,724.0,6.0,Kachin,21837.0,26003.0,Thein Zaw,SNLD,10,2228
0,Myitkyina-2,39894.0,732.0,6.0,Kachin,19244.0,22420.0,Oo Byit Tu,KSNCD,36,6898
1,Myitkyina-2,39894.0,732.0,6.0,Kachin,19244.0,22420.0,Duwa Lawan Li,KNC,28,5361
2,Myitkyina-2,39894.0,732.0,6.0,Kachin,19244.0,22420.0,Lakwai Tu,WUO,22,4332
0,Mohnyin-2,27468.0,741.0,4.0,Kachin,16940.0,19520.0,Kya Mya,NLD,73,12374
1,Mohnyin-2,27468.0,741.0,4.0,Kachin,16940.0,19520.0,Than Gyaung,NUP,16,2640
2,Mohnyin-2,27468.0,741.0,4.0,Kachin,16940.0,19520.0,Sai Chan Paung,SNLD,10,1776
0,Tanai,8917.0,749.0,5.0,Kachin,4319.0,4876.0,N Wam Kham Zau Tawng,NLD,64,2771
1,Tanai,8917.0,749.0,5.0,Kachin,4319.0,4876.0,Kamang Gam,NUP,20,860
0,Lewe-1,58837.0,753.0,4.0,Mandalay,42405.0,47469.0,Tin Htut Oo,NLD,54,22887
1,Lewe-1,58837.0,753.0,4.0,Mandalay,42405.0,47469.0,Brig-Gen Sein Win,YUO,40,16803
0,Lewe-2,59952.0,758.0,4.0,Mandalay,41923.0,47560.0,Nyi Nyi Tun,NLD,56,23457
1,Lewe-2,59952.0,758.0,4.0,Mandalay,41923.0,47560.0,Soe Tint Aung,NUP,34,14449
0,Pyinmanaa-1,67814.0,762.0,3.0,Mandalay,44935.0,51240.0,Tint Lwin,NLD,71,31681
1,Pyinmanaa-1,67814.0,762.0,3.0,Mandalay,44935.0,51240.0,Khin Maung,NUP,28,12542
0,Pyinmanaa-2,72283.0,766.0,7.0,Mandalay,48082.0,53218.0,Kyaw,NLD,62,29995
1,Pyinmanaa-2,72283.0,766.0,7.0,Mandalay,48082.0,53218.0,Capt. Soe Win,NUP,25,11930
0,Singu,53674.0,770.0,5.0,Mandalay,41568.0,43454.0,Saw Htay,NLD,63,26079
1,Singu,53674.0,770.0,5.0,Mandalay,41568.0,43454.0,Maj. Myint Swe,NUP,30,12549
