,constituency,eligible_voters,line,num_candidates,state,valid_votes,votes_cast,candidate,party,percent,votes
0,Kawkareik-1,30972.0,1078.0,4.0,Kayin,18968.0,22192.0,Mahn Myaing Aye,NLD,71,13379
1,Kawkareik-1,30972.0,1078.0,4.0,Kayin,18968.0,22192.0,Saw Han Thein,NUP,21,4041
0,Kawkareik-2,34854.0,1082.0,4.0,Kayin,21402.0,24475.0,Nai Thaung Shein,MNDF,49,10444
1,Kawkareik-2,34854.0,1082.0,4.0,Kayin,21402.0,24475.0,Ye Myint,NLD,31,6552
2,Kawkareik-2,34854.0,1082.0,4.0,Kayin,21402.0,24475.0,Tin Hla,NUP,18,3832
0,Myawadi,8882.0,1090.0,3.0,Kayin,5645.0,6461.0,Sein Bo,NLD,76,4283
1,Myawadi,8882.0,1090.0,3.0,Kayin,5645.0,6461.0,Sein Aung,NUP,22,1249
0,Mahlaing-1,47457.0,1094.0,5.0,Mandalay,32891.0,36208.0,Saw Shwe,NLD,60,19595
1,Mahlaing-1,47457.0,1094.0,5.0,Mandalay,32891.0,36208.0,Khin Maung Than,NUP,36,11797
0,Mahlaing-2,47296.0,1098.0,7.0,Mandalay,29389.0,35018.0,Maung Maung Myint,NLD,56,16468
1,Mahlaing-2,47296.0,1098.0,7.0,Mandalay,29389.0,35018.0,San Ni,NUP,33,9703
0,Madaya-1,53421.0,1102.0,5.0,Mandalay,39668.0,43721.0,Dr. Aung Wai,NLD,68,27153
1,Madaya-1,53421.0,1102.0,5.0,Mandalay,39668.0,43721.0,Tun Pe,NUP,28,10918
0,Madaya-2,44502.0,1106.0,6.0,Mandalay,33554.0,37014.0,Than Lwin,NLD,70,23364
1,Madaya-2,44502.0,1106.0,6.0,Mandalay,33554.0,37014.0,Bo Htein,NUP,28,9315
0,Meiktila-1,89460.0,1110.0,6.0,Mandalay,56951.0,65622.0,Maung Maung Myint,NLD,59,33664
1,Meiktila-1,89460.0,1110.0,6.0,Mandalay,56951.0,65622.0,Ba Htoo,WUO,28,15902
0,Meiktila-2,82376.0,1116.0,5.0,Mandalay,46567.0,53819.0,Dr. Thein Lwin,NLD,62,28913
1,Meiktila-2,82376.0,1116.0,5.0,Mandalay,46567.0,53819.0,Dr. Chit,PUO,23,10667
0,Thazi-1,46868.0,1121.0,3.0,Mandalay,34499.0,38484.0,Thein Maung,NLD,61,21050
1,Thazi-1,46868.0,1121.0,3.0,Mandalay,34499.0,38484.0,Kyaw Thant,NUP,27,9161
2,Thazi-1,46868.0,1121.0,3.0,Mandalay,34499.0,38484.0,Aung Hla,LDP,12,4288
0,Thazi-2,46564.0,1129.0,4.0,Mandalay,33130.0,36372.0,Maung Maung Lay,NLD,58,19079
1,Thazi-2,46564.0,1129.0,4.0,Mandalay,33130.0,36372.0,Soe Wunna,NUP,37,12125
0,Wundwin-1,56395.0,1133.0,6.0,Mandalay,40552.0,44474.0,Thaung Tin,NLD,66,26616
1,Wundwin-1,56395.0,1133.0,6.0,Mandalay,40552.0,44474.0,Kyaw Myint,NUP,28,11482
0,Wundwin-2,58081.0,1137.0,4.0,Mandalay,44486.0,47263.0,Hla Aung,NLD,67,29802
1,Wundwin-2,58081.0,1137.0,4.0,Mandalay,44486.0,47263.0,Thura Tin Maung Aye,NUP,30,13462
0,Thabeikkyin,34787.0,1141.0,4.0,Mandalay,29835.0,23071.0,Maw,NLD,69,14371
1,Thabeikkyin,34787.0,1141.0,4.0,Mandalay,29835.0,23071.0,Tha Tun,NUP,25,5270
0,Gangaw,58228.0,1146.0,2.0,Magway,43416.0,47719.0,Aung Htoo,NLD,75,32587
1,Gangaw,58228.0,1146.0,2.0,Magway,43416.0,47719.0,Maung Ko,NUP,25,10829
0,Pakokku-1,81979.0,1150.0,5.0,Magway,57546.0,64578.0,Dr. Kyi Min,NLD,74,42684
1,Pakokku-1,81979.0,1150.0,5.0,Magway,57546.0,64578.0,Naing Win,NUP,23,13060
0,Pakokku-2,79497.0,1154.0,6.0,Magway,58519.0,64872.0,Hlaing Aye,NLD,70,49782
1,Pakokku-2,79497.0,1154.0,6.0,Magway,58519.0,64872.0,Lt-Col San Tin,NUP,25,14871
0,Yesagyo-1,65352.0,1158.0,4.0,Magway,44068.0,49402.0,Maw Ni,NLD,64,28381
1,Yesagyo-1,65352.0,1158.0,4.0,Magway,44068.0,49402.0,Tin Maung,NUP,33,14368
0,Yesagyo-2,63010.0,1162.0,5.0,Magway,45645.0,50005.0,Tin Maung,NLD,64,29316
1,Yesagyo-2,63010.0,1162.0,5.0,Magway,45645.0,50005.0,Col. Tin Maung,PUO,33,14960
0,Bilin-1,42507.0,1167.0,4.0,Mon,23879.0,27976.0,Maung Maung Latt,NLD,71,16912
1,Bilin-1,42507.0,1167.0,4.0,Mon,23879.0,27976.0,Col. Thaung Dan,NUP,26,6103
0,Bilin-2,38462.0,1171.0,5.0,Mon,20772.0,24425.0,Maung Maung,NLD,68,14100
1,Bilin-2,38462.0,1171.0,5.0,Mon,20772.0,24425.0,Saw Moses,NUP,30,6143
0,Ye-1,47746.0,1175.0,4.0,Mon,24429.0,28198.0,Dr. Min Moe Lin,MNDF,61,14992
1,Ye-1,47746.0,1175.0,4.0,Mon,24429.0,28198.0,Kyu,NLD,30,7441
2,Ye-1,47746.0,1175.0,4.0,Mon,24429.0,28198.0,Kyaw Than,NUP,7,1728
0,Ye-2,33834.0,1183.0,3.0,Mon,21391.0,23329.0,Dr. Kyin Thein,NLD,65,13879
1,Ye-2,33834.0,1183.0,3.0,Mon,21391.0,23329.0,Nai Maung Min,MNDF,25,5319
2,Ye-2,33834.0,1183.0,3.0,Mon,21391.0,23329.0,San Thaung,NUP,10,2193
0,Mudon-1,60187.0,1191.0,6.0,Mon,37794.0,41916.0,Daw Tin Saw Oo,NLD,54,20472
1,Mudon-1,60187.0,1191.0,6.0,Mon,37794.0,41916.0,Nai Pan Aung,MNDF,23,8710
2,Mudon-1,60187.0,1191.0,6.0,Mon,37794.0,41916.0,Khin Maung,NUP,18,6676
0,Mudon-2,58218.0,1199.0,5.0,Mon,36926.0,42377.0,Dr. Kyi Win,MNDF,66,24430
1,Mudon-2,58218.0,1199.0,5.0,Mon,36926.0,42377.0,Daw Nyunt Yi,NLD,27,9842
2,Mudon-2,58218.0,1199.0,5.0,Mon,36926.0,42377.0,Khin Myint,YUO,6,2063
0,Mawlamyine-1,80530.0,1208.0,8.0,Mon,51265.0,56653.0,Lun Tin,NLD,77,39624
1,Mawlamyine-1,80530.0,1208.0,8.0,Mon,51265.0,56653.0,Dr. Mehm Thet San,NUP,17,8904
0,Mawlamyine-2,75679.0,1212.0,6.0,Mon,49874.0,54573.0,Chan Aye,NLD,73,36508
1,Mawlamyine-2,75679.0,1212.0,6.0,Mon,49874.0,54573.0,Aung Win,WUO,16,7794
0,Chaungzon-1,36762.0,1217.0,5.0,Mon,23272.0,27043.0,Aung Kyi Nyunt,NLD,44,10344
1,Chaungzon-1,36762.0,1217.0,5.0,Mon,23272.0,27043.0,Nai Tun Wai,MNDF,38,8821
2,Chaungzon-1,36762.0,1217.0,5.0,Mon,23272.0,27043.0,Tun Thaung,NUP,15,3578
0,Chaungzon-2,35547.0,1225.0,4.0,Mon,22758.0,27076.0,Daw Khin Htay Kywe,NLD,80,18307
1,Chaungzon-2,35547.0,1225.0,4.0,Mon,22758.0,27076.0,Ohn Lwin,NUP,15,3303
0,Ngapudaw-1,72615.0,1229.0,3.0,Ayeyarwady,41265.0,46740.0,David Hla Myint,NLD,66,27111
1,Ngapudaw-1,72615.0,1229.0,3.0,Ayeyarwady,41265.0,46740.0,Col Maung Maung Aye,PUO,32,13152
0,Ngapudaw-2,76475.0,1234.0,4.0,Ayeyarwady,47860.0,54218.0,Dr. Sit Tin,NLD,67,32239
1,Ngapudaw-2,76475.0,1234.0,4.0,Ayeyarwady,47860.0,54218.0,Kan Tun,PUO,30,14512
0,Pathein East-1,50597.0,1239.0,4.0,Ayeyarwady,32770.0,38637.0,Nyunt Hlaing,NLD,60,19651
1,Pathein East-1,50597.0,1239.0,4.0,Ayeyarwady,32770.0,38637.0,Htain Lin,NUP,35,11619
0,Pathein East-2,48409.0,1243.0,5.0,Ayeyarwady,31767.0,38034.0,Hla Kyi,NLD,61,19293
1,Pathein East-2,48409.0,1243.0,5.0,Ayeyarwady,31767.0,38034.0,Saw Jelson,NUP,34,10744
0,Pathein West-1,76777.0,1247.0,5.0,Ayeyarwady,48918.0,56925.0,Tin Chaw,NLD,59,28829
1,Pathein West-1,76777.0,1247.0,5.0,Ayeyarwady,48918.0,56925.0,Chit Sein,NUP,36,17371
0,Pathein West-2,77222.0,1251.0,6.0,Ayeyarwady,46989.0,54357.0,Kyaw Min,NLD,69,32304
1,Pathein West-2,77222.0,1251.0,6.0,Ayeyarwady,46989.0,54357.0,Win Maung,NUP,29,13618
0,Mogok-1,39535.0,1256.0,6.0,Mandalay,22814.0,25348.0,Daw May Hnin Kyi,NLD,72,16439
1,Mogok-1,39535.0,1256.0,6.0,Mandalay,22814.0,25348.0,Maj. Kyaw Nyein,NUP,14,3306
2,Mogok-1,39535.0,1256.0,6.0,Mandalay,22814.0,25348.0,Mushin Hsaik,LNS,10,2274
0,Mogok-2,36726.0,1264.0,6.0,Mandalay,22873.0,24596.0,Bo Hla Tint,NLD,72,16527
1,Mogok-2,36726.0,1264.0,6.0,Mandalay,22873.0,24596.0,Kyaw Win,NUP,17,3818
0,Pyin-Oo-Lwin-1 [Maymyo],38050.0,1268.0,5.0,Mandalay,23731.0,26295.0,Hla Saw Oo,NLD,49,11632
1,Pyin-Oo-Lwin-1 [Maymyo],38050.0,1268.0,5.0,Mandalay,23731.0,26295.0,Myint Than,NUP,29,6778
2,Pyin-Oo-Lwin-1 [Maymyo],38050.0,1268.0,5.0,Mandalay,23731.0,26295.0,Khin Maung Nyunt,UNDP,12,2779
0,Pyin-Oo-Lwin-2,39296.0,1276.0,8.0,Mandalay,22806.0,27749.0,Peter Linpin,Independent,30,6943
1,Pyin-Oo-Lwin-2,39296.0,1276.0,8.0,Mandalay,22806.0,27749.0,Col. Maung Maung,NUP,28,6282
2,Pyin-Oo-Lwin-2,39296.0,1276.0,8.0,Mandalay,22806.0,27749.0,Khin Maung Myint,NLD,24,5551
0,Kawthaung,26256.0,1281.0,5.0,Tanintharyi,11567.0,13677.0,Hla Min,NLD,75,8652
1,Kawthaung,26256.0,1281.0,5.0,Tanintharyi,11567.0,13677.0,Thaung Shein,NUP,19,2242
0,Palaw,44726.0,1285.0,3.0,Tanintharyi,24965.0,28745.0,Kyi Shwe,NLD,88,22088
1,Palaw,44726.0,1285.0,3.0,Tanintharyi,24965.0,28745.0,Ba Thee,NUP,10,2499
0,Tanintharyi,24303.0,1289.0,4.0,Tanintharyi,9559.0,11776.0,Win Oo,NLD,89,8542
1,Tanintharyi,24303.0,1289.0,4.0,Tanintharyi,9559.0,11776.0,Hla Tun,NUP,7,685
0,Bokepyin,18137.0,1293.0,2.0,Tanintharyi,6251.0,7064.0,Ohn Myint,NLD,74,4651
1,Bokepyin,18137.0,1293.0,2.0,Tanintharyi,6251.0,7064.0,Sai Mung Htan,NUP,26,1610
0,Kyunzu,46686.0,1297.0,3.0,Tanintharyi,16696.0,19680.0,Khin Maung Oo,NLD,81,13568
1,Kyunzu,46686.0,1297.0,3.0,Tanintharyi,16696.0,19680.0,Min Lwin,PUO,16,2679
0,Muse-1,24082.0,1302.0,2.0,Shan,15969.0,17217.0,Sai Hla Pe,SNLD,91,14603
1,Muse-1,24082.0,1302.0,2.0,Shan,15969.0,17217.0,Sai Khin Maung Lay,NUP,9,1366
0,Muse-2,16485.0,1307.0,2.0,Shan,8556.0,10058.0,Sai Maung Lay,SNLD,53,4500
1,Muse-2,16485.0,1307.0,2.0,Shan,8556.0,10058.0,Yein Bawng,PUO,47,4056
0,Mongyai,9323.0,1312.0,2.0,Shan,4385.0,5489.0,Hla Din,SNLD,79,3472
1,Mongyai,9323.0,1312.0,2.0,Shan,4385.0,5489.0,Saw Ohn Sein,NUP,21,913
0,Namhkam,44789.0,1317.0,3.0,Shan,32298.0,36095.0,Sai Tha Aye,SNLD,63,20198
1,Namhkam,44789.0,1317.0,3.0,Shan,32298.0,36095.0,Yaini,TNLD,34,11131
0,Tangyan-1,10447.0,1321.0,4.0,Shan,3411.0,4251.0,Hkun Gyi,SNLD,55,1865
1,Tangyan-1,10447.0,1321.0,4.0,Shan,3411.0,4251.0,Sai Myint Swe,PUO,17,583
2,Tangyan-1,10447.0,1321.0,4.0,Shan,3411.0,4251.0,Sai Aung Pu,NLD,17,571
3,Tangyan-1,10447.0,1321.0,4.0,Shan,3411.0,4251.0,Jip Seinn,WNDP,11,392
0,Tangyan-2,12492.0,1332.0,4.0,Shan,5694.0,6647.0,Tun Sa,SNLD,41,2322
1,Tangyan-2,12492.0,1332.0,4.0,Shan,5694.0,6647.0,Daw Yin Yin May,NLD,37,2110
2,Tangyan-2,12492.0,1332.0,4.0,Shan,5694.0,6647.0,Sai Tun Tun Lwin,NUP,13,747
0,Kutkai-1,12535.0,1340.0,5.0,Shan,4969.0,6121.0,Hkun Saing,NLD,35,1761
1,Kutkai-1,12535.0,1340.0,5.0,Shan,4969.0,6121.0,Daw Nang Yun,NUP,26,1294
2,Kutkai-1,12535.0,1340.0,5.0,Shan,4969.0,6121.0,Maung Kyaw,TNLD,18,705
3,Kutkai-1,12535.0,1340.0,5.0,Shan,4969.0,6121.0,Labya Gan,SSKDP,12,591
0,Kutkai-2,6898.0,1350.0,6.0,Shan,3774.0,4522.0,Ai Yi,TNLD,35,1316
1,Kutkai-2,6898.0,1350.0,6.0,Shan,3774.0,4522.0,Hkun Naung,NLD,20,738
2,Kutkai-2,6898.0,1350.0,6.0,Shan,3774.0,4522.0,Hkun Sam,SNLD,17,633
3,Kutkai-2,6898.0,1350.0,6.0,Shan,3774.0,4522.0,M Zau Nang,YUO,11,428
0,Kyaukme-1,39397.0,1361.0,4.0,Shan,18681.0,23709.0,Hla Pe,SNLD,48,9045
1,Kyaukme-1,39397.0,1361.0,4.0,Shan,18681.0,23709.0,Ye Lwin,NLD,32,6037
2,Kyaukme-1,39397.0,1361.0,4.0,Shan,18681.0,23709.0,Kya Tun,TNLD,11,2092
3,Kyaukme-1,39397.0,1361.0,4.0,Shan,18681.0,23709.0,Hkun Myint,NUP,8,1507
0,Kyaukme-2,32502.0,1371.0,4.0,Shan,16597.0,19963.0,Sai Hsaung Hsi,SNLD,51,8427
1,Kyaukme-2,32502.0,1371.0,4.0,Shan,16597.0,19963.0,Sai Kyaw Shwe,NLD,30,4966
2,Kyaukme-2,32502.0,1371.0,4.0,Shan,16597.0,19963.0,Ottama,NUP,14,2389
0,Nawnghkio,53026.0,1379.0,4.0,Shan,33139.0,38397.0,Tun Aung,NLD,57,18886
1,Nawnghkio,53026.0,1379.0,4.0,Shan,33139.0,38397.0,Tun Kyi,SNLD,19,6303
2,Nawnghkio,53026.0,1379.0,4.0,Shan,33139.0,38397.0,Tin Aung,NUP,15,5074
0,Saw,37458.0,1389.0,3.0,Magway,31110.0,33736.0,Kyaw Tin,NLD,60,18606
1,Saw,37458.0,1389.0,3.0,Magway,31110.0,33736.0,Thein Aung,NUP,29,8946
2,Saw,37458.0,1389.0,3.0,Magway,31110.0,33736.0,Dr. Ko Ko,DP,11,3556
0,Minhla,57204.0,1394.0,3.0,Magway,38167.0,43216.0,Chit Tin,NLD,57,21631
1,Minhla,57204.0,1394.0,3.0,Magway,38167.0,43216.0,Khant,NUP,41,15558
0,Sinbaungwe,55251.0,1398.0,5.0,Magway,36971.0,41433.0,Han Zaw,NLD,61,22637
1,Sinbaungwe,55251.0,1398.0,5.0,Magway,36971.0,41433.0,Taik Soe,NUP,36,13443
0,Mindon,37590.0,1402.0,5.0,Magway,29763.0,32529.0,Tun Win,NLD,68,20241
1,Mindon,37590.0,1402.0,5.0,Magway,29763.0,32529.0,Nyein Maung,NUP,27,8059
0,Kamma,43598.0,1406.0,6.0,Magway,33154.0,36678.0,Myint Aung,NLD,69,22711
1,Kamma,43598.0,1406.0,6.0,Magway,33154.0,36678.0,Pau Khan Thang,NUP,20,6585
0,Seikphyu,46749.0,1410.0,2.0,Magway,33515.0,39177.0,Soe Win,NLD,75,25100
1,Seikphyu,46749.0,1410.0,2.0,Magway,33515.0,39177.0,Shein Kyaw Win,NUP,25,8415
0,Thayet,57562.0,1414.0,5.0,Magway,33618.0,38694.0,Khin Maung Than,NLD,74,24879
1,Thayet,57562.0,1414.0,5.0,Magway,33618.0,38694.0,Win Maung,YUO,20,6812
0,Pauk-1,39413.0,1419.0,4.0,Magway,28308.0,31955.0,Khin Maung Kyi,NLD,61,17355
1,Pauk-1,39413.0,1419.0,4.0,Magway,28308.0,31955.0,Maung Maung,NUP,37,10371
0,Pauk-2,38018.0,1423.0,6.0,Magway,25446.0,29664.0,Aung Naing Oo,NLD,56,14310
1,Pauk-2,38018.0,1423.0,6.0,Magway,25446.0,29664.0,Tun Yi,NUP,34,8633
0,Htilin,31384.0,1427.0,3.0,Magway,24909.0,26702.0,Saw Win,NLD,58,14495
1,Htilin,31384.0,1427.0,3.0,Magway,24909.0,26702.0,Ant Maung,NUP,22,5453
2,Htilin,31384.0,1427.0,3.0,Magway,24909.0,26702.0,Kyaw Sint,Independent,20,4961
0,Myaing-1,66391.0,1435.0,4.0,Magway,41988.0,46265.0,Aung San Myint,NLD,72,30273
1,Myaing-1,66391.0,1435.0,4.0,Magway,41988.0,46265.0,Taik Kywe,NUP,26,10710
0,Myaing-2,62836.0,1439.0,5.0,Magway,39318.0,44772.0,Myint Aung,NLD,72,28340
1,Myaing-2,62836.0,1439.0,5.0,Magway,39318.0,44772.0,Tun Kyi,NUP,22,8647
0,Myayde-1,52274.0,1443.0,5.0,Magway,30132.0,34693.0,Nyunt Hlaing,NLD,57,17310
1,Myayde-1,52274.0,1443.0,5.0,Magway,30132.0,34693.0,Thaung Htut,NUP,37,11226
0,Myayde-2,56371.0,1447.0,4.0,Magway,33530.0,38848.0,Thein Zan,NLD,62,20717
1,Myayde-2,56371.0,1447.0,4.0,Magway,33530.0,38848.0,Pan Sein,NUP,35,11847
0,Taungdwingyi-1,62422.0,1451.0,6.0,Magway,41143.0,46560.0,Thein Kyi,NLD,71,29363
1,Taungdwingyi-1,62422.0,1451.0,6.0,Magway,41143.0,46560.0,Mya Maung,WUO,23,9605
0,Taungdwingyi-2,59768.0,1456.0,4.0,Magway,39182.0,44437.0,Than Naing,NLD,70,27436
1,Taungdwingyi-2,59768.0,1456.0,4.0,Magway,39182.0,44437.0,Kan Nyunt,NUP,26,10379
0,Yenangyoung-1,46454.0,1460.0,6.0,Magway,32445.0,35557.0,Thakin Khin Nyunt,NLD,76,24703
1,Yenangyoung-1,46454.0,1460.0,6.0,Magway,32445.0,35557.0,Ba Nyein,WUO,20,6489
0,Yenangyoung-2,46692.0,1465.0,6.0,Magway,30582.0,33065.0,Kyaw Kyaw,NLD,77,23516
1,Yenangyoung-2,46692.0,1465.0,6.0,Magway,30582.0,33065.0,Khin Maung Mya,NUP,20,6028
0,Natmauk-1,55749.0,1469.0,4.0,Magway,32837.0,37424.0,Bo Htwe,NLD,79,25806
1,Natmauk-1,55749.0,1469.0,4.0,Magway,32837.0,37424.0,Khin Maung Kyi,UBMAFPFL,15,4922
0,Natmauk-2,57049.0,1474.0,3.0,Magway,35776.0,40151.0,Aung Myint Thein,NLD,68,24168
1,Natmauk-2,57049.0,1474.0,3.0,Magway,35776.0,40151.0,Brig-Gen Ba Thein,NUP,30,10901
0,Taungup,63319.0,1479.0,4.0,Rakhine,35740.0,42904.0,Kyaw Khaing,NLD,77,27431
1,Taungup,63319.0,1479.0,4.0,Rakhine,35740.0,42904.0,Col. Tin Gyi,NUP,16,5557
0,Thandwe [Sandoway],67679.0,1483.0,6.0,Rakhine,46402.0,53390.0,Tun Yi,NLD,79,36789
1,Thandwe [Sandoway],67679.0,1483.0,6.0,Rakhine,46402.0,53390.0,Tun Pe Aung,NUP,18,8195
0,Gwa,36589.0,1487.0,4.0,Rakhine,22461.0,27363.0,Nyi Pu,NLD,71,15931
1,Gwa,36589.0,1487.0,4.0,Rakhine,22461.0,27363.0,Hla Kyaw Aung,NUP,21,4801
0,Buthidaung-1,58449.0,1491.0,7.0,Rakhine,41668.0,46065.0,Kyaw Min,NDPHR,74,30997
1,Buthidaung-1,58449.0,1491.0,7.0,Rakhine,41668.0,46065.0,Maung Maung,NUP,9,3933
2,Buthidaung-1,58449.0,1491.0,7.0,Rakhine,41668.0,46065.0,Nur-arlom,NLD,5,2049
0,Buthidaung-2,55095.0,1499.0,8.0,Rakine,40143.0,46037.0,Tin Maung,NDPHR,50,20045
1,Buthidaung-2,55095.0,1499.0,8.0,Rakine,40143.0,46037.0,Abul Tahail,SYLMD,28,11394
2,Buthidaung-2,55095.0,1499.0,8.0,Rakine,40143.0,46037.0,Aung Kyaw Oo,NUP,8,3387
3,Buthidaung-2,55095.0,1499.0,8.0,Rakine,40143.0,46037.0,Chit Maung,NLD,1,433
0,Htigyaint,46214.0,1509.0,5.0,Sagaing,33589.0,38045.0,Kyaw Win,NLD,67,22591
1,Htigyaint,46214.0,1509.0,5.0,Sagaing,33589.0,38045.0,Myint Soe,NUP,28,9350
0,Katha,59103.0,1513.0,4.0,Sagaing,36538.0,42719.0,Myaint Kyi,NLD,70,25753
1,Katha,59103.0,1513.0,4.0,Sagaing,36538.0,42719.0,Tin Oo,NUP,25,9285
0,Kawlin,60907.0,1517.0,4.0,Sagaing,41023.0,46519.0,Thein San,NLD,73,29986
1,Kawlin,60907.0,1517.0,4.0,Sagaing,41023.0,46519.0,Sein Kyaing,NUP,23,9302
0,Wuntho,33008.0,1521.0,3.0,Sagaing,21464.0,26379.0,Aung Khin,NLD,70,14963
1,Wuntho,33008.0,1521.0,3.0,Sagaing,21464.0,26379.0,Ye Htut,NUP,28,6016
0,Banmauk,37453.0,1525.0,3.0,Sagaing,22979.0,26251.0,Ba Nyein,NLD,56,12889
1,Banmauk,37453.0,1525.0,3.0,Sagaing,22979.0,26251.0,Nyunt Kyaw,NUP,25,5724
2,Banmauk,37453.0,1525.0,3.0,Sagaing,22979.0,26251.0,Chit Maung,FGGSNUDH,19,4366
0,Indaw,50067.0,1533.0,4.0,Sagaing,35129.0,39945.0,Saw Hlaing,NLD,79,27598
1,Indaw,50067.0,1533.0,4.0,Sagaing,35129.0,39945.0,Sein Lwin,NUP,18,6291
0,Pinlebu,47980.0,1537.0,4.0,Sagaing,35075.0,39776.0,Mya Aye,NLD,73,25497
1,Pinlebu,47980.0,1537.0,4.0,Sagaing,35075.0,39776.0,Tun Aung,NUP,24,8556
0,Hsipaw-1,18139.0,1541.0,3.0,Shan,10577.0,12233.0,Khun Tun Oo,SNLD,50,5268
1,Hsipaw-1,18139.0,1541.0,3.0,Shan,10577.0,12233.0,Sai Tin Zaw,NLD,36,3789
2,Hsipaw-1,18139.0,1541.0,3.0,Shan,10577.0,12233.0,Sai Aung Tun,NUP,14,1520
0,Hsipaw-2,13423.0,1549.0,3.0,Shan,8412.0,9461.0,Sai Aung Than,NLD,45,3826
1,Hsipaw-2,13423.0,1549.0,3.0,Shan,8412.0,9461.0,Naing Shwe Kyar,SNLD,44,3693
2,Hsipaw-2,13423.0,1549.0,3.0,Shan,8412.0,9461.0,Sai Chit Hlaing,NUP,11,893
0,Namhsan,19346.0,1557.0,3.0,Shan,9534.0,10914.0,Tun Kyaw,TNLD,64,6095
1,Namhsan,19346.0,1557.0,3.0,Shan,9534.0,10914.0,Kyaw Nyunt,NLD,25,2358
2,Namhsan,19346.0,1557.0,3.0,Shan,9534.0,10914.0,Khun Pwint,NUP,11,1081
0,Momeik,28799.0,1565.0,5.0,Shan,17253.0,20929.0,Dr. Ohn Maung,NLD,48,8203
1,Momeik,28799.0,1565.0,5.0,Shan,17253.0,20929.0,Daw Hla Kywe,SNLD,25,4262
2,Momeik,28799.0,1565.0,5.0,Shan,17253.0,20929.0,Mying Maung,NUP,19,3225
0,Namtu,32696.0,1573.0,4.0,Shan,17838.0,20133.0,Daw May Phyo,NLD,55,9782
1,Namtu,32696.0,1573.0,4.0,Shan,17838.0,20133.0,Aung Win,SNLD,30,5324
2,Namtu,32696.0,1573.0,4.0,Shan,17838.0,20133.0,Sai San Pe,NUP,10,1863
0,Mabein,13401.0,1581.0,3.0,Shan,10514.0,11547.0,Chit Khin,NLD,83,8767
1,Mabein,13401.0,1581.0,3.0,Shan,10514.0,11547.0,Myint,NUP,15,1616
0,Namsang,20941.0,1585.0,3.0,Shan,9736.0,11428.0,Sai Tin Win,SNLD,39,3752
1,Namsang,20941.0,1585.0,3.0,Shan,9736.0,11428.0,Win Maung,PUO,34,3343
2,Namsang,20941.0,1585.0,3.0,Shan,9736.0,11428.0,Khin Maung Phyu,NLD,27,2641
0,Yekyi-1,58576.0,1596.0,3.0,Ayeyarwady,45209.0,51009.0,Nyunt Win,NLD,63,28327
1,Yekyi-1,58576.0,1596.0,3.0,Ayeyarwady,45209.0,51009.0,Khin Maung Kyi,NUP,36,16069
0,Yekyi-2,61340.0,1600.0,4.0,Ayeyarwady,39879.0,46133.0,Maung Maung,NLD,67,26740
1,Yekyi-2,61340.0,1600.0,4.0,Ayeyarwady,39879.0,46133.0,Col. Myint Aung,NUP,30,11911
0,Mawlamyinegyunn-1,72418.0,1604.0,4.0,Ayeyarwady,47069.0,53247.0,Hla Pe,NLD,53,24960
1,Mawlamyinegyunn-1,72418.0,1604.0,4.0,Ayeyarwady,47069.0,53247.0,Capt. Thaung Nyunt,NUP,45,21395
0,Mawlamyinegyunn-2,70457.0,1608.0,5.0,Ayeyarwady,39215.0,45352.0,Tin Hla,NLD,52,20317
1,Mawlamyinegyunn-2,70457.0,1608.0,5.0,Ayeyarwady,39215.0,45352.0,Tin Mya,NUP,44,17173
0,Myaungmya-1,84757.0,1612.0,5.0,Ayeyarwady,51575.0,61112.0,Aung Kyin,NLD,53,27446
1,Myaungmya-1,84757.0,1612.0,5.0,Ayeyarwady,51575.0,61112.0,Maj. Aung Than,NUP,34,17780
0,Myaungmya-2,86526.0,1616.0,4.0,Ayeyarwady,45444.0,55724.0,Soe Min,NLD,59,26725
1,Myaungmya-2,86526.0,1616.0,4.0,Ayeyarwady,45444.0,55724.0,Kan Hla,YUO,33,15145
0,Kyonpyaw-1,66058.0,1621.0,5.0,Ayeyarwady,43508.0,50523.0,Mahn Johnny,NLD,73,31731
1,Kyonpyaw-1,66058.0,1621.0,5.0,Ayeyarwady,43508.0,50523.0,Tin Kyi,NUP,23,9850
0,Kyonpyaw-2,63678.0,1625.0,4.0,Ayeyarwady,44929.0,51579.0,Tin,NLD,69,30816
1,Kyonpyaw-2,63678.0,1625.0,4.0,Ayeyarwady,44929.0,51579.0,Win Maung,PUO,27,12078
0,Danubyu-1,50953.0,1630.0,4.0,Ayeyarwady,36689.0,41659.0,Win Myint,NLD,56,20388
1,Danubyu-1,50953.0,1630.0,4.0,Ayeyarwady,36689.0,41659.0,Maj-Gen Hla Oo,NUP,41,15191
0,Danubyu-2,52825.0,1634.0,4.0,Ayeyarwady,38258.0,43031.0,Thaung Yi,NLD,53,20200
1,Danubyu-2,52825.0,1634.0,4.0,Ayeyarwady,38258.0,43031.0,Khin Thein,NUP,41,15707
0,Einme-1,45061.0,1638.0,3.0,Ayeyarwady,31128.0,37068.0,Tin Htut,NLD,62,19441
1,Einme-1,45061.0,1638.0,3.0,Ayeyarwady,31128.0,37068.0,Col. Ohn Kyi,NUP,33,10154
0,Einme-2,44901.0,1642.0,4.0,Ayeyarwady,30770.0,36899.0,Myint Maung,NLD,65,20054
